hombre	personas	D	etnia	Z	ocupado_jefe	ingreso_jefe_hogar
0.00	5.00	0.00	0.00	0,706347108	1.00	98,80000305
0.00		0.00	1.00	0,496744096	0.00	120,5
0.00	6.00	0.00	1.00	-1,543105721	1.00	13,5
0.00	5.00	0.00	0.00	-1,692884922	1.00	42,5
1.00		0.00	1.00	0,400267959	0.00	18,5
0.00	4.00	0.00	1.00	-0,458268166	1.00	80.00
0.00	13.00	0.00	1.00	-0,933340788	0.00	104,5999985
1.00	4.00	0.00	0.00	-0,84866786	1.00	46.00
1.00	5.00	0.00	0.00	-1,953868985	0.00	59,5
1.00	5.00	0.00	0.00	-2,189651966	1.00	66.00
1.00	4.00	0.00	1.00	-2,227901697	1.00	14.00
0.00	3.00	0.00	0.00	-1,813984036	1.00	37,5
1.00	5.00	0.00	0.00	-1,45401001	0.00	90.00
1.00	9.00	0.00	0.00	-0,124839403	1.00	215.00
1.00	2.00	0.00	0.00	-3,598711967	1.00	99.00
1.00	6.00	0.00	0.00	-0,367980301	0.00	45,59999847
0.00		0.00	1.00	-0,172187164	0.00	30.00
0.00	7.00	0.00	1.00	-2,023375511	0.00	128,1999969
0.00	4.00	0.00	1.00	-0,969758987	1.00	60.00
0.00	5.00	0.00	0.00	-1,023777962	1.00	53.00
0.00	4.00	0.00	0.00	-5,1412673	1.00	39.00
0.00	4.00	0.00	0.00	-0,652974606	1.00	37,20000076
1.00	6.00	0.00	0.00	0,411243677	1.00	113,5
0.00	3.00	0.00	1.00	-0,868302882	0.00	0.00
0.00	5.00	0.00	0.00	-0,550183952	1.00	78,40000153
1.00	5.00	0.00	0.00	0,300093591	1.00	90,5
1.00	4.00	0.00	0.00	0,192822605	1.00	73,5
0.00	7.00	0.00	1.00	-1,038745522	1.00	90.00
1.00		0.00	1.00	2,219058514	1.00	40,5
0.00	9.00	0.00	1.00	-1,014839172	0.00	100.00
1.00		0.00	1.00	0,24663496	1.00	4,800000191
1.00	5.00	0.00	0.00	-1,512084961	1.00	70.00
1.00	5.00	0.00	0.00	-0,938374996	1.00	47,5
0.00	8.00	0.00	0.00	-0,4504475	1.00	173,1999969
0.00	5.00	0.00	0.00	-0,247580096	0.00	60.00
0.00		0.00	1.00	2,731426001	1.00	40,5
1.00	3.00	0.00	1.00	-0,599541485	0.00	86,59999847
1.00	3.00	0.00	0.00	-0,398391217	1.00	0.00
1.00	5.00	0.00	1.00	-1,996845365	1.00	31,5
0.00	4.00	0.00	1.00	-0,631733	1.00	44.00
0.00	4.00	0.00	0.00	-1,486343026	0.00	46.00
1.00	3.00	0.00	1.00	-2,225889921	0.00	70,30000305
0.00	6.00	0.00	0.00	-0,605320752	1.00	0.00
1.00		0.00	1.00	-0,300980836	1.00	64,5
0.00	7.00	0.00	1.00	-2,688256264	1.00	47.00
1.00	3.00	0.00	1.00	-0,884220958	1.00	68.00
1.00	4.00	0.00	1.00	-0,856520474	1.00	0.00
0.00	4.00	0.00	1.00	-2,026431084	1.00	9,5
1.00	12.00	0.00	1.00	-1,483905315	0.00	63,99980164
0.00	5.00	0.00	1.00	-0,401010752	1.00	56,45000076
1.00		0.00	1.00	0,523872733	1.00	80,5
0.00	6.00	0.00	1.00	-1,651093125	1.00	0.00
0.00	7.00	0.00	1.00	-1,644699812	1.00	89,5
0.00	5.00	0.00	1.00	-0,651453137	1.00	382.00
1.00		0.00	1.00	-0,226217732	1.00	45.00
1.00	4.00	0.00	0.00	0,737229943	1.00	200,3000031
0.00	10.00	0.00	1.00	-2,385918379	1.00	241,3999939
1.00	11.00	0.00	0.00	-0,884360254	0.00	101,5
1.00	2.00	0.00	1.00	-0,497371852	1.00	0.00
0.00	4.00	0.00	0.00	-1,217911959	1.00	87,59999847
0.00	9.00	0.00	1.00	-1,416271448	1.00	78.00
0.00	4.00	0.00	0.00	-0,326913208	0.00	24.00
0.00	8.00	0.00	1.00	-1,089204788	1.00	0.00
0.00	6.00	0.00	0.00	-0,589827955	1.00	48,45000076
0.00	5.00	0.00	0.00	-2,546644926	1.00	110.00
1.00		0.00	1.00	-0,06320855	1.00	25,79999924
0.00	4.00	0.00	0.00	2,785169125	1.00	253,3000031
